ids,catalog_number,cad
2788056,14GTV-4326-68,
2788055,14GTV-3920-68,
2788054,14GTV-3850-68,
2788053,14GTV-3500-68,
2788052,14GTV-3360-68,
2788051,14GTV-3304-68,
2788050,14GTV-3136-68,
2788049,14GTV-2828-68,
2788048,14GTV-2800-68,
2788047,14GTV-2730-68,
2788046,14GTV-2660-68,
2788045,14GTV-2590-68,
2788044,14GTV-2520-68,
2788043,14GTV-2450-68,
2788042,14GTV-2380-68,
2788041,14GTV-2310-68,
2788040,14GTV-2240-68,
2788039,14GTV-2100-68,
2788038,14GTV-1960-68,
2788037,14GTV-1890-68,
2788036,14GTV-1750-68,
2788035,14GTV-1610-68,
2788034,14GTV-1568-68,
2788033,14GTV-1400-68,
2788032,14GTV-1260-68,
2788031,14GTV-1190-68,
2788030,14GTV-1120-68,
2788029,14GTV-994-68,
2788028,14GTV-2828-37,
2788027,14GTV-2730-37,
2788026,14GTV-1960-37,
2788025,14GTV-1890-37,
2788024,14GTV-1750-37,
2788023,14GTV-1610-37,
2788022,14GTV-1568-37,
2788021,14GTV-1400-37,
2788020,14GTV-1260-37,
2788019,14GTV-1190-37,
2788018,14GTV-1120-37,
2788017,14GTV-2828-20,
2788016,14GTV-2730-20,
2788015,14GTV-1960-20,
2788014,14GTV-1890-20,
2788013,14GTV-1750-20,
2788012,14GTV-1610-20,
2788011,14GTV-1568-20,
2788010,14GTV-1400-20,
2788009,14GTV-1260-20,
2788008,14GTV-1190-20,
2788007,14GTV-1120-20,
2788006,8GTV-4480-62,
2788005,8GTV-4400-62,
2788004,8GTV-4000-62,
2788003,8GTV-3600-62,
2788002,8GTV-3280-62,
2788001,8GTV-3200-62,
2788000,8GTV-3048-62,
2787999,8GTV-2840-62,
2787998,8GTV-2800-62,
2787997,8GTV-2600-62,
2787996,8GTV-2520-62,
2787995,8GTV-2400-62,
2787994,8GTV-2240-62,
2787993,8GTV-2200-62,
2787992,8GTV-2000-62,
2787991,8GTV-1792-62,
2787990,8GTV-1760-62,
2787989,8GTV-1600-62,
2787988,8GTV-1440-62,
2787987,8GTV-1280-62,
2787986,8GTV-1224-62,
