ids,catalog_number,cad
2070442,7218 BEGAY,http://www.skf.com/cadDownload/02017062403322788508129192d056f/PARTserver02017062403322788508129192d056f.zip
2070446,QJ 1248 MA/344524,http://www.skf.com/cadDownload/02017062403322788508128192d056f/PARTserver02017062403322788508128192d056f.zip
2070441,7218 BEGAM,http://www.skf.com/cadDownload/02017062403322880508130192d056f/PARTserver02017062403322880508130192d056f.zip
2070438,IR 70X80X25,none
2070436,IR 40X48X22,none
2070430,IR 20X24X20,none
2070434,IR 28X32X20,none
2070431,231/500 CA/C3W33,none
2070428,K 16X20X17,none
2070444,6010 NR,http://www.skf.com/cadDownload/02017062403323513908131192d056f/PARTserver02017062403323513908131192d056f.zip
2070427,IR 15X20X13,none
2070426,IR 15X19X16,none
2070424,71904 ACD/P4ADGA,none
2070429,IR 17X22X13,none
2070433,239/530 CA/W33,http://www.skf.com/cadDownload/02017062403323746308133192d056f/PARTserver02017062403323746308133192d056f.zip
2070432,231/600 CAK/W33,http://www.skf.com/cadDownload/02017062403323907008134192d056f/PARTserver02017062403323907008134192d056f.zip
2070425,GS 81112,http://www.skf.com/cadDownload/02017062403324481108141192d056f/PARTserver02017062403324481108141192d056f.zip
2070422,628/5-2Z,http://www.skf.com/cadDownload/02017062403324633908146192d056f/PARTserver02017062403324633908146192d056f.zip
2070423,NK 65/35,http://www.skf.com/cadDownload/02017062403324649508147192d056f/PARTserver02017062403324649508147192d056f.zip
2070420,NK 42/20,http://www.skf.com/cadDownload/02017062403325062908150192d056f/PARTserver02017062403325062908150192d056f.zip
2070421,61892 MA,http://www.skf.com/cadDownload/02017062403325067608151192d056f/PARTserver02017062403325067608151192d056f.zip
2070415,23188 CAK/W33,http://www.skf.com/cadDownload/02017062403325070708152192d056f/PARTserver02017062403325070708152192d056f.zip
2070414,RNA 6916,http://www.skf.com/cadDownload/02017062403325089508156192d056f/PARTserver02017062403325089508156192d056f.zip
2070417,23284 CA/W33,http://www.skf.com/cadDownload/02017062403325086308155192d056f/PARTserver02017062403325086308155192d056f.zip
2070418,23996 CAK/W33,http://www.skf.com/cadDownload/02017062403325086308154192d056f/PARTserver02017062403325086308154192d056f.zip
2070419,AH 24128,http://www.skf.com/cadDownload/02017062403325119108157192d056f/PARTserver02017062403325119108157192d056f.zip
2070411,NA 4913,http://www.skf.com/cadDownload/02017062403325119108158192d056f/PARTserver02017062403325119108158192d056f.zip
2070410,RNA 4908.2RS,http://www.skf.com/cadDownload/02017062403325200208159192d056f/PARTserver02017062403325200208159192d056f.zip
2070416,23280 CA/W33,http://www.skf.com/cadDownload/02017062403325083208153192d056f/PARTserver02017062403325083208153192d056f.zip
2070412,NNU 4938 B/SPW33,http://www.skf.com/cadDownload/02017062403325214308160192d056f/PARTserver02017062403325214308160192d056f.zip
2070408,AOH 2244,http://www.skf.com/cadDownload/02017062403325222108161192d056f/PARTserver02017062403325222108161192d056f.zip
2070395,7318 BEGBY,none
2070409,HM 3188,http://www.skf.com/cadDownload/02017062403325245508162192d056f/PARTserver02017062403325245508162192d056f.zip
2070407,HK 1812,http://www.skf.com/cadDownload/02017062403325520008165192d056f/PARTserver02017062403325520008165192d056f.zip
2070394,6076 M/C3,none
2070391,6307/C4,none
2070392,6216/C4,none
2070413,NK 6/12 TN,http://www.skf.com/cadDownload/02017062403325733708167192d056f/PARTserver02017062403325733708167192d056f.zip
2070405,AH 309,http://www.skf.com/cadDownload/02017062403325676008166192d056f/PARTserver02017062403325676008166192d056f.zip
2070402,NKX 70,http://www.skf.com/cadDownload/02017062403325956808168192d056f/PARTserver02017062403325956808168192d056f.zip
2070403,YAR 214-208-2F,http://www.skf.com/cadDownload/02017062403330198608169192d056f/PARTserver02017062403330198608169192d056f.zip
2070404,GE 300 ES-2RS,http://www.skf.com/cadDownload/02017062403330214208170192d056f/PARTserver02017062403330214208170192d056f.zip
2070388,6002-Z/C4,none
2070400,NKX 40 Z,http://www.skf.com/cadDownload/02017062403330232908171192d056f/PARTserver02017062403330232908171192d056f.zip
2070401,TS 60,none
2070390,6218-Z,http://www.skf.com/cadDownload/02017062403330657308172192d056f/PARTserver02017062403330657308172192d056f.zip
2070379,7217 BEGAY,none
2070393,635-2Z,http://www.skf.com/cadDownload/02017062403331273508175192d056f/PARTserver02017062403331273508175192d056f.zip
2070384,6209 NR,http://www.skf.com/cadDownload/02017062403331293708176192d056f/PARTserver02017062403331293708176192d056f.zip
2070387,6007-2Z,http://www.skf.com/cadDownload/02017062403331309308177192d056f/PARTserver02017062403331309308177192d056f.zip
2070374,61818/C3,none
2070383,62302-2RS1,http://www.skf.com/cadDownload/02017062403331326508178192d056f/PARTserver02017062403331326508178192d056f.zip
2070386,6205 NR,http://www.skf.com/cadDownload/02017062403331343708179192d056f/PARTserver02017062403331343708179192d056f.zip
