file_name,catalog_number,ids
NKX+50.zip,NKX 50,318206
HK+1216.2RS.zip,HK 1216.2RS,318208
NUTR+4090+X.zip,NUTR 4090 X,318204
NUTR+40+X.zip,NUTR 40 X,318203
RNA+6910.zip,RNA 6910,318199
RNA+6906.zip,RNA 6906,318198
RNA+4905.2RS.zip,RNA 4905.2RS,318184
RNA+4906.2RS.zip,RNA 4906.2RS,318186
RNA+6905.zip,RNA 6905,318197
RNA+6904.zip,RNA 6904,318196
RNA+4911.zip,RNA 4911,318190
RNA+4905.zip,RNA 4905,318183
RNA+6903.zip,RNA 6903,318195
RNA+4912.zip,RNA 4912,318191
RNA+4914.zip,RNA 4914,318193
RNA+6913.zip,RNA 6913,318200
RNA+6902.zip,RNA 6902,318194
RNA+4913.zip,RNA 4913,318192
RNA+4907.2RS.zip,RNA 4907.2RS,318187
RNA+4910.zip,RNA 4910,318189
,NKI 55/25,318167
,NKI 40/30,318164
RNA+4904.2RS.zip,RNA 4904.2RS,318182
,NKI 45/35,318165
RNA+4904.zip,RNA 4904,318181
NKX+60.zip,NKX 60,318178
NKX+15+Z.zip,NKX 15 Z,318169
NKX+20+Z.zip,NKX 20 Z,318171
NKX+25+Z.zip,NKX 25 Z,318173
NKX+35+Z.zip,NKX 35 Z,318175
RNA+4902.zip,RNA 4902,318179
,NKI 40/20,318163
,NKI 35/20,318161
RNA+4906.zip,RNA 4906,318185
NKX+30.zip,NKX 30,318174
NKX+50+Z.zip,NKX 50 Z,318177
RNA+4903.zip,RNA 4903,318180
NKX+45+Z.zip,NKX 45 Z,318176
NKX+17.zip,NKX 17,318170
NKX+25.zip,NKX 25,318172
,NKI 25/20,318157
RNA+4908.zip,RNA 4908,318188
1,AXK 2035,318148
1,AXK 5578,318149
,NK 60/25,318146
,NK 30/20,318143
NKI+50%2F35.zip,NKI 50/35,318166
NKI+32%2F30.zip,NKI 32/30,318160
NKI+32%2F20.zip,NKI 32/20,318159
NKI+25%2F30.zip,NKI 25/30,318158
NKI+55%2F35.zip,NKI 55/35,318168
NKI+17%2F16.zip,NKI 17/16,318151
NK+38%2F20.zip,NK 38/20,318144
NKI+15%2F20.zip,NKI 15/20,318150
NKI+20%2F20.zip,NKI 20/20,318154
NK+40%2F30.zip,NK 40/30,318145
NKI+22%2F16.zip,NKI 22/16,318155
NKI+17%2F20.zip,NKI 17/20,318152
NKI+20%2F16.zip,NKI 20/16,318153
NK+28%2F30.zip,NK 28/30,318142
NKI+35%2F30.zip,NKI 35/30,318162
NK+25%2F20.zip,NK 25/20,318141
NK+15%2F16.zip,NK 15/16,318134
NK+25%2F16.zip,NK 25/16,318140
NK+18%2F16.zip,NK 18/16,318137
NK+24%2F20.zip,NK 24/20,318139
NK+85%2F35.zip,NK 85/35,318147
NK+20%2F16.zip,NK 20/16,318138
NKI+22%2F20.zip,NKI 22/20,318156
NK+17%2F16.zip,NK 17/16,318136
NA+6917.zip,NA 6917,318128
NK+7%2F10+TN.zip,NK 7/10 TN,318129
NK+14%2F16.zip,NK 14/16,318132
NA+6902.zip,NA 6902,318120
NK+14%2F20.zip,NK 14/20,318133
NK+10%2F16+TN.zip,NK 10/16 TN,318131
NK+16%2F16.zip,NK 16/16,318135
NA+6910.zip,NA 6910,318126
NA+6909.zip,NA 6909,318125
NK+8%2F12+TN.zip,NK 8/12 TN,318130
NA+6908.zip,NA 6908,318124
NA+6906.zip,NA 6906,318122
NA+6907.zip,NA 6907,318123
NA+4922.zip,NA 4922,318118
NA+4924.zip,NA 4924,318119
NA+6905.zip,NA 6905,318121
NA+6915.zip,NA 6915,318127
NA+4914.zip,NA 4914,318114
NA+4920.zip,NA 4920,318117
NA+4917.zip,NA 4917,318116
NA+4910.zip,NA 4910,318111
NA+4912.zip,NA 4912,318113
NA+4908.2RS.zip,NA 4908.2RS,318109
NA+4916.zip,NA 4916,318115
NA+4907.zip,NA 4907,318106
NA+4910.2RS.zip,NA 4910.2RS,318112
NA+4907.2RS.zip,NA 4907.2RS,318107
NA+4908.zip,NA 4908,318108
NA+4909.2RS.zip,NA 4909.2RS,318110
NA+4905.zip,NA 4905,318102
NA+4906.zip,NA 4906,318104
NA+4903.2RS.zip,NA 4903.2RS,318099
NA+4904.2RS.zip,NA 4904.2RS,318101
NA+4906.2RS.zip,NA 4906.2RS,318105
NA+4905.2RS.zip,NA 4905.2RS,318103
NA+4902.2RS.zip,NA 4902.2RS,318097
NA+4903.zip,NA 4903,318098
,IR 30X35X30,318081
,IR 45X50X25,318083
,IR 40X45X20,318082
,IR 25X30X17,318080
NA+2201.2RS.zip,NA 2201.2RS,318087
NA+2203.2RS.zip,NA 2203.2RS,318089
NA+4904.zip,NA 4904,318100
NA+4901.2RS.zip,NA 4901.2RS,318095
NA+4902.zip,NA 4902,318096
KR+19.zip,KR 19,318085
,IR 20X25X30,318079
KR+16.zip,KR 16,318084
NA+4900.zip,NA 4900,318092
NA+4900.2RS.zip,NA 4900.2RS,318093
,IR 90X100X36,318077
NA+4901.zip,NA 4901,318094
,IR 12X16X16,318078
NA+4832.zip,NA 4832,318091
