ids,catalog_number,cad
2070318,IR 25X30X30,http://www.skf.com/cadDownload/02017062214585747364463192d056f/PARTserver02017062214585747364463192d056f.zip
2070317,AH 24038,http://www.skf.com/cadDownload/02017062214585744264462192d056f/PARTserver02017062214585744264462192d056f.zip
2070291,LER 37,none
2070290,LER 117,none
2070313,3309 DMA,http://www.skf.com/cadDownload/02017062214585750464464192d056f/PARTserver02017062214585750464464192d056f.zip
2070311,SALKB 20 F,http://www.skf.com/cadDownload/02017062214585752064465192d056f/PARTserver02017062214585752064465192d056f.zip
2070289,LER 109,none
2070288,24048 CCK30/HA3C4W33,none
2070312,6000-Z,http://www.skf.com/cadDownload/02017062214585772264466192d056f/PARTserver02017062214585772264466192d056f.zip
2070307,23276 CA/W33,http://www.skf.com/cadDownload/02017062214585772264467192d056f/PARTserver02017062214585772264467192d056f.zip
2070287,24048 CCK30/HA3C3W33,none
2070286,24036 CCK30/HA3C3W33,none
2070285,24036 CC/HA3C3W33,none
2070284,23968 CAC/HA3W33,none
2070283,23968 CAC/HA3C3W33,none
2070282,23160 CACK/HA3C4W33,none
2070281,23152 CACK/HA3C4W33,none
2070310,RLS 13,http://www.skf.com/cadDownload/02017062214585800364471192d056f/PARTserver02017062214585800364471192d056f.zip
2070306,23096 CA/W33,http://www.skf.com/cadDownload/02017062214585800364469192d056f/PARTserver02017062214585800364469192d056f.zip
2070280,23148 CCK/HA3C4W33,none
2070279,23060 CACK/HA3C4W33,none
2070278,23056 CACK/HA3C4W33,none
2070277,23048 CCK/HA3C4W33,none
2070276,22244 CCK/HA3C4W33,none
2070275,22238 CCK/HA3C4W33,none
2070274,24036 CCK30/HA3C4,none
2070272,23284 CAK/C3W33,none
2070271,23276 CA/C3W33,none
2070270,23268 CAK/C3W33,none
2070269,23264 CACK/C3W33,none
2070268,23260 CAC/C3W33,none
2070267,23260 CACK/C3W33,none
2070265,23252 CACK/C3W33,none
2070264,23248 CACK/C4W33,none
2070263,23224 CCK/C4W33,none
2070261,23176 CA/C3W33,none
2070260,23176 CAK/C3W33,none
2070259,23172 CAC/C3W33,none
