id,catalog_number,cad
2275771,VPB-231 AH,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-VPB-231_AH-DEFAULT.IGS
2287254,23V235JA,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-23V_SM_Sheavemaster-23V235JA.IGS
2292083,4 1/2H SB FR,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-H_1-7_FR_Master-4_1-2H_SB_FR.IGS
2276203,AK20X5/8,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-AK_Sheave_Master1-AK20X5-8.IGS
2292707,1 1/2F SB FF,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-1-5-7_FF-1_5F_SB_FF.IGS
2272592,VF2S-119M,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-VF2S-119M-DEFAULT.IGS
2289755,215SMFP15,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-215SMFP-DEFAULT.IGS
2287160,6B60SK,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-6AB_LG_Sheavemaster-6B60SK.IGS
2275604,SSRPS-112,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-SSRPS-112-DEFAULT.IGS
2276188,AK144X 1 7/16,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-AK_Sheave_Master3-AK144X_1_7-16.IGS
2275824,VPLB-236,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-VPLB-236-DEFAULT.IGS
2287410,48V1600F,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-48V_LG_Sheavemaster-48V1600F.IGS
2282936,Q3  2 3/16,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-Q3-Type2_Bushing_Master-Q3_2_3-16.IGS
2283306,H 19 MM,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-H-Bushing_1_Master-H_19MM.IGS
2287737,J 2 3/16,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-QD-J_Bushing_Master-J_2_3-16.IGS
2281328,22LG100,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-GBPulley_Master6-22LG100.IGS
2275605,SSRPS-114,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-SSRPS-114-DEFAULT.IGS
2272558,9TF16,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-9TF16-DEFAULT.IGS
2275606,SSRPS-115,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-SSRPS-115-DEFAULT.IGS
2282830,P3  1 3/8 5/16,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-P2-P3_Type1_BushingMaster-P3_1_3-8_5-16.IGS
2287071,4C440J,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-4C_LG_Sheavemaster-4C440J.IGS
2285226,2B5V68,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-2B5V-SheaveMaster-2B5V68.IGS
2276241,AK39X5/8,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-AK_Sheave_Master2-AK39X5-8.IGS
2272131,VPE-239,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-VPE-239-DEFAULT.IGS
