url,catalog_number,name,ids
https://www.baldorvip.com/Drawing/Index/MT-3353-BLYAN-53LYP305.pdf?partNo=MT-3353-BLYAN&dokar=DRW&doknr=53LYP305&dokvr=02&document=53LYP305_Layout1.plt,MT-3353-BLYAN,Drawing #: 53LYP305,22584
https://www.baldorvip.com/Drawing/Index/MT-3353-BLYAN-CD1097.pdf?partNo=MT-3353-BLYAN&dokar=DRW&doknr=CD1097&dokvr=00&document=364D.PLT,MT-3353-BLYAN,Drawing #: CD1097,22584
https://www.baldorvip.com/Drawing/Index/MT-3353-BLYAN-CD0194.pdf?partNo=MT-3353-BLYAN&dokar=DRW&doknr=CD0194&dokvr=00&document=503E.PLT,MT-3353-BLYAN,Drawing #: CD0194,22584
https://www.baldorvip.com/Drawing/Index/GA9R-CD0280.pdf?partNo=GA9R&dokar=DRW&doknr=CD0280&dokvr=00&document=647A.PLT,GA9R,Drawing #: CD0280,27408
https://www.baldorvip.com/Drawing/Index/PFTG4650XC-P601A162.pdf?partNo=PFTG4650XC&dokar=DRW&doknr=P601A162&dokvr=01&document=P601A162_Layout1.PLT,PFTG4650XC,Drawing #: P601A162,27884
https://www.baldorvip.com/Drawing/Index/PFTG4650XC-CD1971.pdf?partNo=PFTG4650XC&dokar=DRW&doknr=CD1971&dokvr=01&document=CD1971_Layout1.PLT,PFTG4650XC,Drawing #: CD1971,27884
https://www.baldorvip.com/Drawing/Index/PFTG46100X-P601A164.pdf?partNo=PFTG46100X&dokar=DRW&doknr=P601A164&dokvr=01&document=P601A164_Layout1.PLT,PFTG46100X,Drawing #: P601A164,27883
https://www.baldorvip.com/Drawing/Index/PFTG46100X-CD1971.pdf?partNo=PFTG46100X&dokar=DRW&doknr=CD1971&dokvr=01&document=CD1971_Layout1.PLT,PFTG46100X,Drawing #: CD1971,27883
https://www.baldorvip.com/Drawing/Index/PTG60XP-M-601A231.pdf?partNo=PTG60XP-M&dokar=DRW&doknr=601A231&dokvr=02&document=601A231_Layout1.plt,PTG60XP-M,Drawing #: 601A231,27932
https://www.baldorvip.com/Drawing/Index/PTG60XP-M-CD0194.pdf?partNo=PTG60XP-M&dokar=DRW&doknr=CD0194&dokvr=00&document=503E.PLT,PTG60XP-M,Drawing #: CD0194,27932
https://www.baldorvip.com/Drawing/Index/PTGWD100XPS-CD0194.pdf?partNo=PTGWD100XPS&dokar=DRW&doknr=CD0194&dokvr=00&document=503E.PLT,PTGWD100XPS,Drawing #: CD0194,27918
https://www.baldorvip.com/Drawing/Index/PFTG4250XC-P601A168.pdf?partNo=PFTG4250XC&dokar=DRW&doknr=P601A168&dokvr=00&document=P601A168_Layout1.plt,PFTG4250XC,Drawing #: P601A168,27898
https://www.baldorvip.com/Drawing/Index/PFTG4250XC-XC42-46.pdf?partNo=PFTG4250XC&dokar=DRW&doknr=XC42-46&dokvr=00&document=XC42-46.pdf,PFTG4250XC,Drawing #: XC42-46,27898
https://www.baldorvip.com/Drawing/Index/PFTG4250XC-CD1971.pdf?partNo=PFTG4250XC&dokar=DRW&doknr=CD1971&dokvr=01&document=CD1971_Layout1.PLT,PFTG4250XC,Drawing #: CD1971,27898
https://www.baldorvip.com/Drawing/Index/PTG60XPS-M-601A223.pdf?partNo=PTG60XPS-M&dokar=DRW&doknr=601A223&dokvr=01&document=601A223_Layout1.PLT,PTG60XPS-M,Drawing #: 601A223,27928
https://www.baldorvip.com/Drawing/Index/PTG60XPS-M-CD0194.pdf?partNo=PTG60XPS-M&dokar=DRW&doknr=CD0194&dokvr=00&document=503E.PLT,PTG60XPS-M,Drawing #: CD0194,27928
https://www.baldorvip.com/Drawing/Index/PTGWD50XPS-CD0194.pdf?partNo=PTGWD50XPS&dokar=DRW&doknr=CD0194&dokvr=00&document=503E.PLT,PTGWD50XPS,Drawing #: CD0194,27919
https://www.baldorvip.com/Drawing/Index/PTG4590AC-10603.pdf?partNo=PTG4590AC&dokar=DRW&doknr=10603&dokvr=00&document=969H.PLT,PTG4590AC,Drawing #: 10603,27936
