id,catalog_number,cad
1249829,9/5VX1000,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_9_5VX1000.dxf
1249853,9/5VX950,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_9_5VX950.dxf
1249852,9/5VX900,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_9_5VX900.dxf
1249851,9/5VX850,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_9_5VX850.dxf
1249850,9/5VX800,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_9_5VX800.dxf
1249849,9/5VX750,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_9_5VX750.dxf
1249848,9/5VX710,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_9_5VX710.dxf
1249847,9/5VX670,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_9_5VX670.dxf
1249846,9/5VX630,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_9_5VX630.dxf
1249845,9/5VX600,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_9_5VX600.dxf
1249844,9/5VX560,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_9_5VX560.dxf
1249843,9/5VX530,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_9_5VX530.dxf
1249842,9/5VX500,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_9_5VX500.dxf
1249789,8/5VX2000,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_8_5VX2000.dxf
1249788,8/5VX1900,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_8_5VX1900.dxf
1249787,8/5VX1800,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_8_5VX1800.dxf
1249786,8/5VX1700,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_8_5VX1700.dxf
1249785,8/5VX1600,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_8_5VX1600.dxf
1249784,8/5VX1500,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_8_5VX1500.dxf
1249783,8/5VX1400,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_8_5VX1400.dxf
1249782,8/5VX1320,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_8_5VX1320.dxf
1249781,8/5VX1250,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_8_5VX1250.dxf
1249780,8/5VX1180,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_8_5VX1180.dxf
1249779,8/5VX1120,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_8_5VX1120.dxf
