ids,catalog_number,cad
2070462,RNA 49/22,http://www.skf.com/cadDownload/02017062414381732925593192d056f/PARTserver02017062414381732925593192d056f.zip
2070454,6017 NR,http://www.skf.com/cadDownload/02017062414381747025594192d056f/PARTserver02017062414381747025594192d056f.zip
2070460,23180 CAK/W33,http://www.skf.com/cadDownload/02017062414381761025595192d056f/PARTserver02017062414381761025595192d056f.zip
2070457,6310 NR,http://www.skf.com/cadDownload/02017062414381775125596192d056f/PARTserver02017062414381775125596192d056f.zip
2070455,6216 NR,http://www.skf.com/cadDownload/02017062414381778225597192d056f/PARTserver02017062414381778225597192d056f.zip
2070450,Z 210,none
2070448,NNF 5048 ADA-2LSV,http://www.skf.com/cadDownload/02017062414381879625600192d056f/PARTserver02017062414381879625600192d056f.zip
2070451,HK 1214 RS,http://www.skf.com/cadDownload/02017062414381878025599192d056f/PARTserver02017062414381878025599192d056f.zip
2070449,6304 NR,http://www.skf.com/cadDownload/02017062414382105825602192d056f/PARTserver02017062414382105825602192d056f.zip
2070453,6011 NR,http://www.skf.com/cadDownload/02017062414382124525603192d056f/PARTserver02017062414382124525603192d056f.zip
2070440,IR 85X95X26,none
2070439,IR 80X90X54,none
2070438,IR 70X80X25,none
2070437,IR 55X60X35,none
2070444,6010 NR,http://www.skf.com/cadDownload/02017062414382325725604192d056f/PARTserver02017062414382325725604192d056f.zip
2070445,22312 EK/VA759,none
2070443,7220 BEGAY,http://www.skf.com/cadDownload/02017062414382545725605192d056f/PARTserver02017062414382545725605192d056f.zip
2070442,7218 BEGAY,http://www.skf.com/cadDownload/02017062414382564425606192d056f/PARTserver02017062414382564425606192d056f.zip
2070436,IR 40X48X22,none
2070434,IR 28X32X20,none
2070441,7218 BEGAM,http://www.skf.com/cadDownload/02017062414382581625607192d056f/PARTserver02017062414382581625607192d056f.zip
2070435,K 28X33X13,none
2070447,4217 ATN9,http://www.skf.com/cadDownload/02017062414383021525608192d056f/PARTserver02017062414383021525608192d056f.zip
2070431,231/500 CA/C3W33,none
2070429,IR 17X22X13,none
2070427,IR 15X20X13,none
2070428,K 16X20X17,none
2070430,IR 20X24X20,none
2070426,IR 15X19X16,none
2070446,QJ 1248 MA/344524,http://www.skf.com/cadDownload/02017062414383243025609192d056f/PARTserver02017062414383243025609192d056f.zip
2070424,71904 ACD/P4ADGA,none
2070432,231/600 CAK/W33,http://www.skf.com/cadDownload/02017062414383416225610192d056f/PARTserver02017062414383416225610192d056f.zip
2070433,239/530 CA/W33,http://www.skf.com/cadDownload/02017062414383431825611192d056f/PARTserver02017062414383431825611192d056f.zip
2070425,GS 81112,http://www.skf.com/cadDownload/02017062414383862325612192d056f/PARTserver02017062414383862325612192d056f.zip
2070422,628/5-2Z,http://www.skf.com/cadDownload/02017062414383934125613192d056f/PARTserver02017062414383934125613192d056f.zip
2070423,NK 65/35,http://www.skf.com/cadDownload/02017062414383952825614192d056f/PARTserver02017062414383952825614192d056f.zip
2070414,RNA 6916,http://www.skf.com/cadDownload/02017062414384241425615192d056f/PARTserver02017062414384241425615192d056f.zip
2070421,61892 MA,http://www.skf.com/cadDownload/02017062414384257025616192d056f/PARTserver02017062414384257025616192d056f.zip
2070420,NK 42/20,http://www.skf.com/cadDownload/02017062414384257025617192d056f/PARTserver02017062414384257025617192d056f.zip
2070419,AH 24128,http://www.skf.com/cadDownload/02017062414384272625618192d056f/PARTserver02017062414384272625618192d056f.zip
2070415,23188 CAK/W33,http://www.skf.com/cadDownload/02017062414384288225620192d056f/PARTserver02017062414384288225620192d056f.zip
2070418,23996 CAK/W33,http://www.skf.com/cadDownload/02017062414384308525622192d056f/PARTserver02017062414384308525622192d056f.zip
2070417,23284 CA/W33,http://www.skf.com/cadDownload/02017062414384306925621192d056f/PARTserver02017062414384306925621192d056f.zip
2070411,NA 4913,http://www.skf.com/cadDownload/02017062414384525325623192d056f/PARTserver02017062414384525325623192d056f.zip
2070412,NNU 4938 B/SPW33,http://www.skf.com/cadDownload/02017062414384572125624192d056f/PARTserver02017062414384572125624192d056f.zip
2070410,RNA 4908.2RS,http://www.skf.com/cadDownload/02017062414384589325625192d056f/PARTserver02017062414384589325625192d056f.zip
2070413,NK 6/12 TN,http://www.skf.com/cadDownload/02017062414384631425626192d056f/PARTserver02017062414384631425626192d056f.zip
2070401,TS 60,none
2070408,AOH 2244,http://www.skf.com/cadDownload/02017062414384778125628192d056f/PARTserver02017062414384778125628192d056f.zip
2070416,23280 CA/W33,http://www.skf.com/cadDownload/02017062414384648625627192d056f/PARTserver02017062414384648625627192d056f.zip
2070406,HE 310,http://www.skf.com/cadDownload/02017062414384946525629192d056f/PARTserver02017062414384946525629192d056f.zip
2070405,AH 309,http://www.skf.com/cadDownload/02017062414384960625630192d056f/PARTserver02017062414384960625630192d056f.zip
2070402,NKX 70,http://www.skf.com/cadDownload/02017062414384974625632192d056f/PARTserver02017062414384974625632192d056f.zip
2070409,HM 3188,http://www.skf.com/cadDownload/02017062414385004325633192d056f/PARTserver02017062414385004325633192d056f.zip
2070403,YAR 214-208-2F,http://www.skf.com/cadDownload/02017062414385021425634192d056f/PARTserver02017062414385021425634192d056f.zip
2070395,7318 BEGBY,none
2070394,6076 M/C3,none
2070392,6216/C4,none
2070407,HK 1812,http://www.skf.com/cadDownload/02017062414385310025635192d056f/PARTserver02017062414385310025635192d056f.zip
2070391,6307/C4,none
2070404,GE 300 ES-2RS,http://www.skf.com/cadDownload/02017062414385392725636192d056f/PARTserver02017062414385392725636192d056f.zip
2070388,6002-Z/C4,none
2070400,NKX 40 Z,http://www.skf.com/cadDownload/02017062414385408325637192d056f/PARTserver02017062414385408325637192d056f.zip
2070385,6320-2Z/C3,none
2070393,635-2Z,http://www.skf.com/cadDownload/02017062414385592425638192d056f/PARTserver02017062414385592425638192d056f.zip
2070389,6313 NR,http://www.skf.com/cadDownload/02017062414385656325640192d056f/PARTserver02017062414385656325640192d056f.zip
2070390,6218-Z,http://www.skf.com/cadDownload/02017062414385592425639192d056f/PARTserver02017062414385592425639192d056f.zip
2070398,NKX 10 TN,http://www.skf.com/cadDownload/02017062414385671925641192d056f/PARTserver02017062414385671925641192d056f.zip
2070380,71913 CDGA/P4A,none
2070379,7217 BEGAY,none
2070376,308 N,none
2070386,6205 NR,http://www.skf.com/cadDownload/02017062414390019825642192d056f/PARTserver02017062414390019825642192d056f.zip
2070384,6209 NR,http://www.skf.com/cadDownload/02017062414390035425643192d056f/PARTserver02017062414390035425643192d056f.zip
2070374,61818/C3,none
2070387,6007-2Z,http://www.skf.com/cadDownload/02017062414390049525644192d056f/PARTserver02017062414390049525644192d056f.zip
2070382,635,http://www.skf.com/cadDownload/02017062414390093125645192d056f/PARTserver02017062414390093125645192d056f.zip
2070381,625-2Z,http://www.skf.com/cadDownload/02017062414390124325647192d056f/PARTserver02017062414390124325647192d056f.zip
2070383,62302-2RS1,http://www.skf.com/cadDownload/02017062414390107225646192d056f/PARTserver02017062414390107225646192d056f.zip
2070378,23168 CACK/HA3C4W33,none
2070370,6320/C4,none
2070371,6315-2RS1/C3,none
2070368,6000-ZTN9,none
2070366,PDNB 316,none
2070367,6310/C4,none
2070377,62304-2RS1,http://www.skf.com/cadDownload/02017062414390807625649192d056f/PARTserver02017062414390807625649192d056f.zip
2070372,6316-2Z,http://www.skf.com/cadDownload/02017062414390823225651192d056f/PARTserver02017062414390823225651192d056f.zip
2070373,6306 NR,http://www.skf.com/cadDownload/02017062414390834125652192d056f/PARTserver02017062414390834125652192d056f.zip
2070375,624-2Z,http://www.skf.com/cadDownload/02017062414390817025650192d056f/PARTserver02017062414390817025650192d056f.zip
2070362,PDN 308,none
2070361,23160 CCK/C4W33,none
2070364,476218-303 B,none
2070369,6217 NR,http://www.skf.com/cadDownload/02017062414391306825653192d056f/PARTserver02017062414391306825653192d056f.zip
2070357,RBC4B 457969,none
2070365,6305 NR,http://www.skf.com/cadDownload/02017062414391375525654192d056f/PARTserver02017062414391375525654192d056f.zip
325932,632,none
2070356,1306 EKTN9/C3,none
2070354,GAZ 500 SA,none
2070355,NJ 2220 ECP/C3,none
2070363,6309 NR,http://www.skf.com/cadDownload/02017062414391506525655192d056f/PARTserver02017062414391506525655192d056f.zip
2070360,HK 2010,http://www.skf.com/cadDownload/02017062414391582925656192d056f/PARTserver02017062414391582925656192d056f.zip
2070350,NU 1036 M/C4VA301,none
2070359,SALA 45 ES-2RS,http://www.skf.com/cadDownload/02017062414391598525657192d056f/PARTserver02017062414391598525657192d056f.zip
2070346,3304 ATN9/C3,none
2070349,2208 E-2RS1KTN9/C3,none
2070358,SAA 45 ES-2RS,http://www.skf.com/cadDownload/02017062414391877825659192d056f/PARTserver02017062414391877825659192d056f.zip
2070352,NUB 222 ECJ,http://www.skf.com/cadDownload/02017062414392239725660192d056f/PARTserver02017062414392239725660192d056f.zip
2070351,NJ 317 ECJ,http://www.skf.com/cadDownload/02017062414392255325661192d056f/PARTserver02017062414392255325661192d056f.zip
2070342,NU 312 ECM/C5,none
2070340,24152 CC/C5W33,none
2070344,NNF 5016 ADA-2LSV,http://www.skf.com/cadDownload/02017062414392383225663192d056f/PARTserver02017062414392383225663192d056f.zip
2070345,16060 MA,http://www.skf.com/cadDownload/02017062414392400425664192d056f/PARTserver02017062414392400425664192d056f.zip
2070348,NNF 5020 ADA-2LSV,http://www.skf.com/cadDownload/02017062414392362925662192d056f/PARTserver02017062414392362925662192d056f.zip
2070347,3304 ATN9,http://www.skf.com/cadDownload/02017062414392416025665192d056f/PARTserver02017062414392416025665192d056f.zip
2070334,24036 CCK30/C3W33,none
2070335,R 313583,none
2070343,NUP 207 ECJ,http://www.skf.com/cadDownload/02017062414392695225666192d056f/PARTserver02017062414392695225666192d056f.zip
2070338,2205 E-2RS1KTN9/C3,none
2070332,23218 CC/C3,none
2070336,R 313891 A,none
2070333,NUP 207 ECP/C3,none
2070341,HJ 236 EC,http://www.skf.com/cadDownload/02017062414392763925667192d056f/PARTserver02017062414392763925667192d056f.zip
2070339,23280 CAK/W33,http://www.skf.com/cadDownload/02017062414392969825670192d056f/PARTserver02017062414392969825670192d056f.zip
2070330,N 60,none
2070337,K 81111 TN,http://www.skf.com/cadDownload/02017062414393043125671192d056f/PARTserver02017062414393043125671192d056f.zip
2070326,FRB 6.5/90,none
2070324,TS 68,none
2070331,HA 2332,http://www.skf.com/cadDownload/02017062414393113325672192d056f/PARTserver02017062414393113325672192d056f.zip
2070319,IR 35X40X30,none
2070321,IR 70X80X30,none
2070329,RLS 9-2Z,http://www.skf.com/cadDownload/02017062414393520525679192d056f/PARTserver02017062414393520525679192d056f.zip
2070325,TS 80,none
