ids,catalog_number,cad
2788051,14GTV-3304-68,
2788050,14GTV-3136-68,
2788049,14GTV-2828-68,
2788048,14GTV-2800-68,
2788047,14GTV-2730-68,
2788046,14GTV-2660-68,
2788045,14GTV-2590-68,
2788044,14GTV-2520-68,
2788043,14GTV-2450-68,
2788042,14GTV-2380-68,
2788041,14GTV-2310-68,
2788040,14GTV-2240-68,
2788039,14GTV-2100-68,
2788038,14GTV-1960-68,
2788037,14GTV-1890-68,
2788036,14GTV-1750-68,
2788035,14GTV-1610-68,
2788034,14GTV-1568-68,
2788033,14GTV-1400-68,
2788032,14GTV-1260-68,
2788031,14GTV-1190-68,
2788030,14GTV-1120-68,
2788029,14GTV-994-68,
2788028,14GTV-2828-37,
2788027,14GTV-2730-37,
2788026,14GTV-1960-37,
2788025,14GTV-1890-37,
2788024,14GTV-1750-37,
2788023,14GTV-1610-37,
2788022,14GTV-1568-37,
2788021,14GTV-1400-37,
2788020,14GTV-1260-37,
2788019,14GTV-1190-37,
2788018,14GTV-1120-37,
2788017,14GTV-2828-20,
2788016,14GTV-2730-20,
2788015,14GTV-1960-20,
2788014,14GTV-1890-20,
2788013,14GTV-1750-20,
2788012,14GTV-1610-20,
2788011,14GTV-1568-20,
2788010,14GTV-1400-20,
2788009,14GTV-1260-20,
2788008,14GTV-1190-20,
2788007,14GTV-1120-20,
2788006,8GTV-4480-62,
2788005,8GTV-4400-62,
2788004,8GTV-4000-62,
2788003,8GTV-3600-62,
2788002,8GTV-3280-62,
2788001,8GTV-3200-62,
2788000,8GTV-3048-62,
2787999,8GTV-2840-62,
2787998,8GTV-2800-62,
2787997,8GTV-2600-62,
2787996,8GTV-2520-62,
2787995,8GTV-2400-62,
2787994,8GTV-2240-62,
2787993,8GTV-2200-62,
2787992,8GTV-2000-62,
2787991,8GTV-1792-62,
2787990,8GTV-1760-62,
2787989,8GTV-1600-62,
2787988,8GTV-1440-62,
2787987,8GTV-1280-62,
2787986,8GTV-1224-62,
2787985,8GTV-1200-62,
2787984,8GTV-1120-62,
2787983,8GTV-1040-62,
2787982,8GTV-1000-62,
2787981,8GTV-960-62,
2787980,8GTV-896-62,
2787979,8GTV-800-62,
2787978,8GTV-720-62,
2787977,8GTV-640-62,
2787976,8GTV-4400-36,
2787975,8GTV-1440-36,
2787974,8GTV-1280-36,
2787973,8GTV-1224-36,
2787972,8GTV-1200-36,
2787971,8GTV-1120-36,
2787970,8GTV-1040-36,
2787969,8GTV-1000-36,
2787968,8GTV-960-36,
2787967,8GTV-896-36,
2787966,8GTV-800-36,
2787964,8GTV-640-36,
2787965,8GTV-720-36,
2787963,8GTV-4400-21,
2787962,8GTV-1440-21,
2787959,8GTV-1200-21,
2787961,8GTV-1280-21,
2787960,8GTV-1224-21,
2787958,8GTV-1120-21,
2787957,8GTV-1040-21,
2787956,8GTV-1000-21,
2787955,8GTV-960-21,
2787954,8GTV-896-21,
2787953,8GTV-800-21,
2787952,8GTV-720-21,
2787951,8GTV-640-21,
2787950,8GTV-4480-12,
2787949,8GTV-4400-12,
2787948,8GTV-4000-12,
2787947,8GTV-3600-12,
2787946,8GTV-3280-12,
2787945,8GTV-3200-12,
2787944,8GTV-3048-12,
2787943,8GTV-2840-12,
2787942,8GTV-2800-12,
2787941,8GTV-2600-12,
2787940,8GTV-2520-12,
2787939,8GTV-2400-12,
2787938,8GTV-2240-12,
2787937,8GTV-2200-12,
2787936,8GTV-2000-12,
2787935,8GTV-1792-12,
2787934,8GTV-1760-12,
2787933,8GTV-1600-12,
2787932,8GTV-1440-12,
2787931,8GTV-1280-12,
2787930,8GTV-1224-12,
2787929,8GTV-1200-12,
2787928,8GTV-1120-12,
2787927,8GTV-1040-12,
2787926,8GTV-1000-12,
2787925,8GTV-960-12,
2787924,8GTV-896-12,
2787923,8GTV-800-12,
2787922,8GTV-720-12,
2787921,8GTV-640-12,
2385911,6/5VXP1800,
2385910,6/5VXP1600,
2385909,6/5VXP1400,
2385908,6/5VXP1320,
2385907,6/5VXP1250,
2385906,6/5VXP1180,
2385905,6/5VXP1120,
2385904,6/5VXP1060,
2385903,6/5VXP1000,
2385902,6/5VXP950,
2385901,6/5VXP900,
2385900,6/5VXP850,
2385899,6/5VXP800,
2385898,6/5VXP750,
2385897,6/5VXP710,
2385896,5/5VXP1800,
2385895,5/5VXP1600,
2385894,5/5VXP1400,
2385893,5/5VXP1320,
2385892,5/5VXP1250,
2385891,5/5VXP1180,
2385890,5/5VXP1120,
2385889,5/5VXP1060,
2385888,5/5VXP1000,
2385887,5/5VXP950,
2385886,5/5VXP900,
2385885,5/5VXP850,
2385884,5/5VXP800,
2385883,5/5VXP750,
2385882,5/5VXP710,
2385880,4/5VXP1600,
2385881,4/5VXP1800,
2385879,4/5VXP1400,
2385878,4/5VXP1320,
2385877,4/5VXP1250,
2385876,4/5VXP1180,
2385873,4/5VXP1000,
2385874,4/5VXP1060,
2385875,4/5VXP1120,
2385872,4/5VXP950,
2385871,4/5VXP900,
2385870,4/5VXP850,
2385869,4/5VXP800,
2385868,4/5VXP750,
2385867,4/5VXP710,
2385865,3/5VXP1600,
2385864,3/5VXP1400,
2385866,3/5VXP1800,
2385863,3/5VXP1320,
2385862,3/5VXP1250,
2385861,3/5VXP1180,
2385860,3/5VXP1120,
2385857,3/5VXP950,
2385858,3/5VXP1000,
2385859,3/5VXP1060,
2385856,3/5VXP900,
2385855,3/5VXP850,
2385854,3/5VXP800,
2385853,3/5VXP750,
2385852,3/5VXP710,
2385849,2/5VXP1400,
2385850,2/5VXP1600,
2385851,2/5VXP1800,
2385848,2/5VXP1320,
2385847,2/5VXP1250,
2385845,2/5VXP1120,
2385846,2/5VXP1180,
2385844,2/5VXP1060,
2385843,2/5VXP1000,
2385841,2/5VXP900,
2385842,2/5VXP950,
2385840,2/5VXP850,
2385839,2/5VXP800,
2385838,2/5VXP750,
2385837,2/5VXP710,
2385836,5VXP2000,
2385835,5VXP1900,
2385833,5VXP1700,
2385832,5VXP1600,
2385834,5VXP1800,
2385831,5VXP1500,
2385830,5VXP1400,
2385829,5VXP1320,
2385828,5VXP1250,
2385827,5VXP1230,
2385826,5VXP1180,
2385825,5VXP1120,
2385823,5VXP1060,
2385824,5VXP1080,
2385822,5VXP1030,
2385821,5VXP1000,
2385820,5VXP950,
