id,catalog_number,additional_description
2033808,3S-C-2U-GFBTSS,
2033809,3S-D-15U-GFBKSS,
2033810,3S-D-15U-GFBTSS,
2033811,3S-D-2U-GFBKSS,
2033812,3S-D-2U-GFBTSS,
2033813,3S-E-15U-GFBKSS,
2033814,3S-E-15U-GFBTSS,
2033815,3S-E-2U-GFBKSS,
2033816,3S-E-2U-GFBTSS,
2033817,3S-F-15U-GFBKSS,
2033818,3S-F-15U-GFBTSS,
2033819,3S-F-2U-GFBKSS,
2033820,3S-F-2U-GFBTSS,
2033821,3S-G-15U-GFBKSS,
2033822,3S-G-15U-GFBTSS,
2033823,3S-G-2U-GFBKSS,
2033824,3S-G-2U-GFBTSS,
2033825,3VEPDP-A,
2033826,3VEPF3,
2033827,3VEPF4,
2033828,4-DTTF-4,
2033829,4-DU-2,
2033830,400-DC-ALPH,
2033831,400-DP-ALPH,
2033832,400-LH-SI,
2033833,400DWX5TC,
2033834,4025REV90,
2033835,4030-RD-AL,
2033836,4030REV90,
2033837,40MPF-UW600,
2033838,42-019-01585,
2033839,42-019-01586,
2033840,420FXFAL00000,
2033841,430FXFAL00000,
2033842,44-251-00006,
2033843,4500RK,
2033844,4500RK-V,
2033845,46-003-00001,
2033846,46-011-00418,
2033847,4VEPDP-A,
2033848,4VEPF4,
2033849,4VEPF6,
2033850,5000-24L,
2033851,500BFP,
2033852,500GH4VBK,
2033853,500GTCAVITHK,
2033854,5204LSNG,
2033855,5204LSNGP,
2033856,5204NG,
2033857,5300BC,
2033858,5504-2,
2033859,572-0812,
2033860,572-1012,
2033861,572-1212,
2033862,574-0812,
2033863,574-1012,
2033864,574-1212,
2033865,575-0808,
2033866,575-1010,
2033867,575-1212,
2033868,5911212W,
2033869,600-C-MI,
2033870,600-E-MI,
2033871,6000-14C,
2033872,6000-15C,
2033873,6000-16C,
2033874,6000-17C,
2033875,60RB-06,
2033876,60RB-08,
2033877,61RB-06,
2033878,61RB-08,
2033879,6400-DTK,
2033880,6400ARK,
2033881,6400SGK,
2033882,04.10.6405,
2033883,10.12.6410,
2033884,08.10.6501,
2033885,12.12.6501,
2033886,6501-14-12,
2033887,6501-16-16,
2033888,6501-20-20,
2033889,6501-24-24,
2033890,6501-32-32,
2033891,02.04.6501,
2033892,04.04.6501,
2033893,02.05.6501,
2033894,04.06.6501,
2033895,06.06.6501,
2033896,06.08.6501,
2033897,08.08.6501,
2033898,12.10.6505,
2033899,08.10.6505,
2033900,12.12.6505,
2033901,08.12.6505,
2033902,6505-16-12,
2033903,6505-16-16,
2033904,6505-20-20,
2033905,6505-24-24,
2033906,6505-32-32,
2033907,02.04.6505,
2033908,04.04.6505,
2033909,04.05.6505,
2033910,04.06.6505,
2033911,06.06.6505,
2033912,06.08.6505,
2033913,6VEPDP-A,
2033914,6VEPF6,
2033915,8-DTMT-6,
2033916,8-DTMT-8,
2033917,8-DTTM-6,
2033918,8-DTTM-8,
2033919,80SEGCOLL,
2033920,8VEPDP-A,
2033921,8VEPF8,
2033922,900SK,
2033923,900TK,
2033924,90CDMHCB60225,
2033925,90CDMHCB60230,
2033926,90CREV5025,
2033927,90CREV5030,
2033928,90CREV6025,
2033929,90CREV6030,
2033930,90DCS4025F-C,
2033931,90DCS4025F-NB,
2033932,90DCS4025F-P,
2033933,90DCS4025F-SP,
2033934,90DCS4030F,
2033935,90DCS4030NYFD,
2033936,90DCS4030NYFDSP,
2033937,90DCS6025F-SP,
2033938,90DCS6030NYFD,
2033939,90FR3C4025,
2033940,90FR3C4025F,
2033941,90FR3C6025,
2033942,90FR3C6025F,
2033943,90FRC4025-D,
2033944,90FRC4025F-D,
2033945,90IRC4025G,
2033946,90IRC4025GF,
2033947,90SCS4025F-SP,
2033948,90SCS4025NYFD,
2033949,90TCS4025F,
2033950,90TCS4025F-NB,
2033951,90TCS6025F,
2033952,90TCS6025F-NB,
2033953,90TCS6025F-SP,
2033954,A515U50CBS,
2033955,ABH10150S,
2033956,ABN100F,
2033957,ABN100S,
2033958,ABN150F,
2033959,ABN150S,
2033960,ACPSO150,
2033961,AD400ALEZMTC,
2033962,AHGV250B,
2033963,AHGV250C,
2033964,AHGV250NS,
2033965,AHGV250Q,
2033966,AHGV250W,
2033967,AK3526-300FL,
2033968,AK4450NST,
2033969,AL-TPR35-30,
2033970,AL-TPR35-50,
2033971,AL-TPR35-70,
2033972,APRD250NYC,
2033973,ARPW15S10S,
2033974,ARPW25F15F,
2033975,ARPW25F25F,
2033976,ASHV1015F,
2033977,ASTB50,
2033978,ATC40ASSAPI,
2033979,ATC40ASSDDA,
2033980,ATCGF40,
2033981,AV150-N,
2033982,AV150-RBR,
2033983,AV150NYFD,
2033984,AV150S,
2033985,AV150T,
2033986,AV151-N,
2033987,AV151-RBR,
2033988,AV151NYFD,
2033989,AV250-N,
2033990,AV250-RBR,
2033991,AV250B-I,
2033992,AV250C-I,
2033993,AV250NYC,
2033994,AV250NYFD,
2033995,AV250Q-I,
2033996,AV250S,
2033997,AV250W-I,
2033998,AV251-N,
2033999,AV251-RBR,
2034000,AV251NYC,
2034001,AV251NYFD,
2034002,AV5-250F,
2034003,AV5-250NYFD,
2034004,AVAPR150F,
2034005,AVAPR150F-I,
2034006,AVAPR250F,
2034007,AVAPR250F-I,
2034008,AVAPRF150,
2034009,AVAPRF150-I,
2034010,AVAPRF250,
2034011,AVAPRF250-I,
2034012,AVF5-250,
2034013,B24RG-G500,
2070710,B2S-R50P,
2070711,B2SXL12-R150,
2070712,B2SXL12-R200,
2070713,B2SXL12-R300,
2070714,B2SXL12-R400,
2070715,B2SXL18-R150,
2070716,B2SXL18-R200,
2070717,B2SXL18-R250,
2070718,B2SXL18-R300,
2070719,B2SXL24-R150,
